appid,SUM(Games_1.playtime_forever)
12380,1517338.0
12390,772780.0
12400,862648.0
12420,525999.0
12430,1017801.0
12440,372916.0
12450,277580.0
12460,804876.0
12470,22165150.0
12480,1189574.0
12500,53715911.0
12510,2898072.0
12520,13503008.0
12530,1692095.0
12540,318967.0
12550,94763.0
12560,530740.0
12570,151532.0
12580,185880.0
12590,1444564.0
12600,140981.0
12630,1175256.0
12640,16510783.0
12650,79000.0
12660,75807.0
12670,835.0
12690,4392135.0
12710,39795126.0
12720,386.0
12750,121015149.0
12770,1451526.0
12790,1813172.0
12800,18050885.0
12810,86731042.0
12830,60635403.0
12840,175300308.0
12860,4980619.0
12900,345338794.0
13000,745130.0
13120,2129459.0
13140,5891846.0
13200,3936186.0
13210,203201322.0
13230,56140532.0
13240,18647007.0
13250,5867827.0
13500,8535263.0
13510,17089254.0
13520,59622740.0
13530,6330237.0
13540,1844063.0
13560,15311846.0
13570,33984625.0
13580,15008156.0
13600,14961271.0
13620,765669.0
13630,889980.0
13640,7622575.0
13650,4.0
13660,0.0
13700,2663875.0
15000,1333742.0
15060,377355.0
15080,281802.0
15100,165191746.0
15120,106167637.0
15130,15991119.0
15140,526888.0
15150,508048.0
15160,1669325.0
15170,118481934.0
15190,7880160.0
15200,19470008.0
15210,47344431.0
15220,589042.0
15230,2243015.0
15240,7481355.0
15260,8894993.0
15270,783529.0
15280,351005.0
15290,436696.0
15300,6047920.0
15310,3743367.0
15320,56400796.0
15330,498900.0
15350,134617.0
15370,67507121.0
15380,14070861.0
15390,12973364.0
15400,6074824.0
15500,6688047.0
15520,10299643.0
15540,4013198.0
15560,2663145.0
15620,2500496033.0
15700,18153737.0
15710,12762164.0
15740,4428271.0
15750,8598521.0
15800,15962.0
15900,7305527.0
15910,4268673.0
15920,6160304.0
15930,5039938.0
15940,120334.0
15950,1862987.0
15960,1718026.0
15970,7165344.0
15980,228570.0
15990,1981210.0
16000,621671.0
16020,1007430.0
16030,3558571.0
16040,4446809.0
16060,1353232.0
16090,828902.0
16100,3585866.0
16110,3025440.0
16120,7786242.0
16130,4896814.0
16180,4993388.0
16200,4964425.0
16300,1490397.0
16450,403256933.0
16480,2966862.0
16500,76554.0
16600,31625564.0
16620,4384237.0
16700,2073017.0
16710,319277.0
16720,8601161.0
16730,3027635.0
16810,85455578.0
17020,497078998.0
17030,1217545.0
17080,5694282.0
17100,12330093.0
17120,10864737.0
17140,8672602.0
17180,1043473.0
17300,206275048.0
17330,60488870.0
17340,22178308.0
17390,172414960.0
17400,11914348.0
17410,127105720.0
17420,10386093.0
17430,49057593.0
17440,15600112.0
17450,1008900019.0
17460,822011050.0
17470,170213838.0
17480,183030662.0
17500,22778367.0
17510,5779568.0
17520,3123563.0
17530,735722.0
17550,254473.0
17570,5356911.0
17580,238497.0
17600,5204431.0
17700,17079500.0
17710,56229916.0
17730,140653.0
17740,697729.0
17760,1212.0
17800,3075566.0
17810,2443809.0
18000,17719314.0
18020,10918311.0
18040,14861148.0
18050,7097125.0
18070,5544087.0
18100,1913761.0
18110,19850356.0
18120,3506403.0
18300,1983606.0
18400,5216312.0
18420,2014842.0
18450,593572.0
18460,364711.0
18470,763411.0
18480,581826.0
18490,2347180.0
18500,364973041.0
18600,548401.0
18700,11829550.0
18820,5584522.0
19000,17931290.0
19020,1326719.0
19030,921330.0
19080,24221.0
19090,2143368.0
19200,1110881.0
19320,90356.0
19500,97999.0
19680,61107699.0
19800,6126585.0
19810,60221.0
19830,13835866.0
19840,23541.0
19900,225073970.0
19910,0.0
19930,14708389.0
19980,11341059.0
19990,251532.0
20200,310960.0
20400,2710.0
20500,143229218.0
20510,102360351.0
20530,13368224.0
20540,814134443.0
20550,4098224.0
20570,1023624142.0
20590,131303549.0
20700,3282579.0
20710,3089330.0
20820,17089169.0
20840,28695576.0
20900,435259799.0
20920,537084723.0
21000,19729607.0
21010,1186164.0
21030,354010.0
21070,635997.0
21080,817047.0
21090,55010737.0
21100,186746444.0
21110,14177050.0
21120,13511557.0
21130,20055315.0
21140,8900191.0
21170,39542583.0
21180,4306.0
21300,399193.0
21400,277290.0
21500,112720.0
21600,776514.0
21610,2851327.0
21620,9119.0
21640,623368.0
21660,109136044.0
21670,3465451.0
21680,3692458.0
21690,126833273.0
21730,2004932.0
21750,637885.0
21760,3526353.0
21780,3043903.0
21800,8010176.0
21900,20277958.0
21910,62877379.0
21920,739400.0
21950,106950.0
21970,660730908.0
21980,34508411.0
21990,518183.0
22000,75111450.0
22100,316245829.0
22120,16635761.0
22130,45114640.0
22140,4580215.0
22180,20090160.0
22200,23405446.0
22230,18029159.0
22300,244331138.0
22310,4706813.0
22320,154543931.0
22330,865907553.0
22340,9431938.0
22350,259587909.0
22370,518748986.0
22380,5066133396.0
22450,11324039.0
22490,529333739.0
22500,17693821.0
22600,254107320.0
22610,10573622.0
22650,7417898.0
22670,1963157.0
22700,9005.0
23100,2286861.0
23120,7935926.0
23130,413416.0
23140,645466.0
23150,399162.0
23200,1286393.0
23300,2221859.0
23310,328477811.0
23360,3456476.0
23380,10822419.0
23390,28304616.0
23400,7943696.0
23420,16895942.0
23440,873659.0
23450,26158413.0
23460,1665753.0
23490,97990790.0
23500,5979613.0
23510,296602.0
23530,13816636.0
23600,4431809.0
23700,11641336.0
24010,856513266.0
24120,8103637.0
24130,15963990.0
24140,2254508.0
24150,1850.0
24170,26864400.0
24180,12891498.0
24200,95485293.0
24210,2818547.0
