appid,Title,Type,Price,Rating,Required_Age,Is_Multiplayer,Genre
266370,Calibre 10 Racing,game,9.99,-1,0,1,Action
266370,Calibre 10 Racing,game,9.99,-1,0,1,Early Access
266370,Calibre 10 Racing,game,9.99,-1,0,1,Racing
306950,Heroes & Legends: Conquerors of Kolhar,game,9.99,-1,0,0,RPG
247000,Talisman: Digital Edition,game,14.99,51,0,1,Indie
247000,Talisman: Digital Edition,game,14.99,51,0,1,RPG
247000,Talisman: Digital Edition,game,14.99,51,0,1,Strategy
63600,realMYST,game,5.99,66,0,0,Adventure
63600,realMYST,game,5.99,66,0,0,Casual
201000,Geneforge 4: Rebellion,game,19.99,-1,0,0,Indie
201000,Geneforge 4: Rebellion,game,19.99,-1,0,0,RPG
201000,Geneforge 4: Rebellion,game,19.99,-1,0,0,Strategy
201070,Revelations 2012,game,2.49,-1,0,1,Action
201070,Revelations 2012,game,2.49,-1,0,1,Indie
