appid,Title,Type,Price,Rating,Required_Age,Is_Multiplayer,Genre
440870,Mysteries of the Past: Shadow of the Daemon Collector s Edition,game,9.99,-1,0,0,Adventure
440870,Mysteries of the Past: Shadow of the Daemon Collector s Edition,game,9.99,-1,0,0,Indie
218040,Democracy 2,game,19.99,-1,0,0,Indie
218040,Democracy 2,game,19.99,-1,0,0,Simulation
218040,Democracy 2,game,19.99,-1,0,0,Strategy
362290,The Living Dungeon,game,19.99,-1,0,1,Adventure
362290,The Living Dungeon,game,19.99,-1,0,1,Indie
362290,The Living Dungeon,game,19.99,-1,0,1,Simulation
362290,The Living Dungeon,game,19.99,-1,0,1,Strategy
399640,Flamebreak,game,9.99,-1,0,0,Action
399640,Flamebreak,game,9.99,-1,0,0,Indie
399640,Flamebreak,game,9.99,-1,0,0,RPG
278530,3 Stars of Destiny,game,14.99,-1,0,0,Adventure
278530,3 Stars of Destiny,game,14.99,-1,0,0,Indie
278530,3 Stars of Destiny,game,14.99,-1,0,0,RPG
271500,Sniper Art of Victory,game,2.99,-1,17,0,Action
313040,Pixel Hunter,game,2.99,-1,0,0,Action
313040,Pixel Hunter,game,2.99,-1,0,0,Adventure
319400,Disney Winnie the Pooh,game,5.99,-1,0,0,Adventure
271970,Hero and Daughter+,game,9.99,-1,16,0,Indie
271970,Hero and Daughter+,game,9.99,-1,16,0,RPG
304030,ArcheAge,game,0,80,17,1,Free to Play
304030,ArcheAge,game,0,80,17,1,Massively Multiplayer
304030,ArcheAge,game,0,80,17,1,RPG
391440,XenoBloom,game,4.99,-1,0,0,Casual
391440,XenoBloom,game,4.99,-1,0,0,Indie
391440,XenoBloom,game,4.99,-1,0,0,Simulation
391440,XenoBloom,game,4.99,-1,0,0,Strategy
344190,Immortal Empire,game,0,-1,0,1,Free to Play
344190,Immortal Empire,game,0,-1,0,1,Indie
344190,Immortal Empire,game,0,-1,0,1,RPG
344190,Immortal Empire,game,0,-1,0,1,Strategy
355920,Pixel Puzzles 2: Space,game,9.99,-1,0,0,Casual
355920,Pixel Puzzles 2: Space,game,9.99,-1,0,0,Indie
355920,Pixel Puzzles 2: Space,game,9.99,-1,0,0,Simulation
355920,Pixel Puzzles 2: Space,game,9.99,-1,0,0,Strategy
288830,Voodoo Whisperer Curse of a Legend,game,4.99,-1,0,0,Adventure
465130,Wicce,game,4.99,-1,0,0,Action
465130,Wicce,game,4.99,-1,0,0,Indie
22230,Rock of Ages,game,9.99,74,0,1,Action
22230,Rock of Ages,game,9.99,74,0,1,Indie
22230,Rock of Ages,game,9.99,74,0,1,Racing
22230,Rock of Ages,game,9.99,74,0,1,Strategy
371430,Space Grunts,game,9.99,-1,0,0,Action
371430,Space Grunts,game,9.99,-1,0,0,Indie
371430,Space Grunts,game,9.99,-1,0,0,RPG
371430,Space Grunts,game,9.99,-1,0,0,Strategy
107300,Breath of Death VII,game,2.99,-1,0,0,Indie
107300,Breath of Death VII,game,2.99,-1,0,0,RPG
247870,Redshirt,game,9.99,62,0,0,Indie
247870,Redshirt,game,9.99,62,0,0,RPG
247870,Redshirt,game,9.99,62,0,0,Simulation
247870,Redshirt,game,9.99,62,0,0,Strategy
433850,H1Z1: King of the Kill,game,19.99,-1,0,1,Action
433850,H1Z1: King of the Kill,game,19.99,-1,0,1,Adventure
433850,H1Z1: King of the Kill,game,19.99,-1,0,1,Early Access
433850,H1Z1: King of the Kill,game,19.99,-1,0,1,Massively Multiplayer
389870,Mugen Souls,game,19.99,-1,0,0,Adventure
389870,Mugen Souls,game,19.99,-1,0,0,RPG
389870,Mugen Souls,game,19.99,-1,0,0,Strategy
442260,Sprinter,game,7.99,-1,0,0,Action
442260,Sprinter,game,7.99,-1,0,0,Indie
70420,Chantelise - A Tale of Two Sisters,game,9.99,62,0,0,Action
70420,Chantelise - A Tale of Two Sisters,game,9.99,62,0,0,Indie
70420,Chantelise - A Tale of Two Sisters,game,9.99,62,0,0,RPG
387780,Professor Teaches® Access 2013 & 365,game,14.99,-1,0,0,Software Training
439910,Risky Rescue,game,0.99,-1,0,1,Action
439910,Risky Rescue,game,0.99,-1,0,1,Casual
439910,Risky Rescue,game,0.99,-1,0,1,Indie
326960,Killing Floor - Toy Master,game,0,-1,0,0,Action
399900,Mad Snowboarding,game,8.99,-1,0,0,Indie
399900,Mad Snowboarding,game,8.99,-1,0,0,Racing
399900,Mad Snowboarding,game,8.99,-1,0,0,Sports
444530,Light Repair Team #4,game,7.99,-1,0,0,Casual
444530,Light Repair Team #4,game,7.99,-1,0,0,Indie
285190,"Warhammer® 40,000™: Dawn of War® III",game,0,-1,0,1,Action
285190,"Warhammer® 40,000™: Dawn of War® III",game,0,-1,0,1,Strategy
367240,Avenging Angel,game,9.99,-1,0,0,Action
